Hudson Val,3375
Huntingdon,3389
Husson,3401
Hutchinson CC,3410
Idaho,3415
Idaho St,3421
Illinois,3425
Illinois Col,3442
Illinois St,3449
IL Wesleyan,3460
Incarnate Word,3473
Independence CC,3478
Indiana,3484
Indiana PA,3494
Indiana St,3509
IN Wesleyan,3519
Indianapolis,3526
Iowa,3540
Iowa Cent,3548
Iowa St,3554
Iowa Western CC,3568
Itawamba CC,3574
Ithaca,3577
Jackson St,3592
Jacksonville St,3606
James Madison,3611
Jamestown,3618
John Carroll,3645
Johns Hopkins,3657
JC Smith,3678
Jones Col,3692
Judson IL,3696
Juniata,3702
Kalamazoo,3707
Kansas,3717
Kansas St,3731
KS Wesleyan,3737
Kean,3744
Kennesaw,3766
Kent,3771
Kentucky,3781
Kentucky Chr,3789
Kentucky St,3791
KY Wesleyan,3796
Kenyon,3801
Keystone,3813
Kilgore,3817
King's PA,3829
Knox,3848
Kutztown,3857
La Verne,3878
Lackawanna,3884
Lafayette,3888
LaGrange,3896
Lake Erie,3901
Lake Forest,3904
Lakeland,3926
Lamar,3935
Lane,3956
Langston,3965
Laval,3984
Lawrence,3985
Lebanon Val,4007
Lehigh,4024
Lenoir-Rhyne,4046
Lewis & Clark,4062
Liberty,4076
Limestone,4085
Lincoln MO,4106
Lincoln PA,4111
Lindenwood,4116
Lindsey Wilson,4124
Linfield,4128
Livingstone,4141
Lock Haven,4145
Loras,4176
Louisburg,4183
Louisiana Chr,4189
Louisiana,4194
ULM,4200
LSU,4206
Louisiana Tech,4218
Louisville,4224
Luther IA,4270
Lycoming,4274
Lyon,4295
Macalester,4298
Madonna,4315
Maine,4319
Manchester,4354
Manitoba,4378
Marian IN,4396
Marietta,4407
Marist,4417
Mars Hill,4430
Marshall,4436
Martin Luther,4446
M Hardin-Baylor,4458
Mary ND,4463
Maryland,4474
Maryville TN,4509
MA Maritime,4522
MA Dartmouth,4532
Massachusetts,4548
MIT,4560
Mayville St,4577
McDaniel,4583
McGill,4592
McKendree,4599
McMaster,4608
McMurry,4609
